user_id,name,age,persona,pref_cats,pref_brands
0,User_00,32,Tech Enthusiast,Electronics,Apple|Sony|Samsung
1,User_01,20,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
2,User_02,54,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
3,User_03,24,Sports Fan,Sports,Nike|Adidas|Bowflex
4,User_04,38,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
5,User_05,26,Tech Enthusiast,Electronics,Apple|Sony|Samsung
6,User_06,56,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
7,User_07,35,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
8,User_08,21,Sports Fan,Sports,Nike|Adidas|Bowflex
9,User_09,42,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
10,User_10,31,Tech Enthusiast,Electronics,Apple|Sony|Samsung
11,User_11,26,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
12,User_12,43,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
13,User_13,19,Sports Fan,Sports,Nike|Adidas|Bowflex
14,User_14,37,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
15,User_15,45,Tech Enthusiast,Electronics,Apple|Sony|Samsung
16,User_16,24,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
17,User_17,25,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
18,User_18,52,Sports Fan,Sports,Nike|Adidas|Bowflex
19,User_19,31,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
20,User_20,34,Tech Enthusiast,Electronics,Apple|Sony|Samsung
21,User_21,53,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
22,User_22,57,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
23,User_23,21,Sports Fan,Sports,Nike|Adidas|Bowflex
24,User_24,19,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
25,User_25,23,Tech Enthusiast,Electronics,Apple|Sony|Samsung
26,User_26,59,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
27,User_27,21,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
28,User_28,46,Sports Fan,Sports,Nike|Adidas|Bowflex
29,User_29,35,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
30,User_30,43,Tech Enthusiast,Electronics,Apple|Sony|Samsung
31,User_31,51,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
32,User_32,27,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
33,User_33,53,Sports Fan,Sports,Nike|Adidas|Bowflex
34,User_34,31,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
35,User_35,48,Tech Enthusiast,Electronics,Apple|Sony|Samsung
36,User_36,32,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
37,User_37,25,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
38,User_38,31,Sports Fan,Sports,Nike|Adidas|Bowflex
39,User_39,40,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
40,User_40,57,Tech Enthusiast,Electronics,Apple|Sony|Samsung
41,User_41,38,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
42,User_42,33,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
43,User_43,35,Sports Fan,Sports,Nike|Adidas|Bowflex
44,User_44,41,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
45,User_45,43,Tech Enthusiast,Electronics,Apple|Sony|Samsung
46,User_46,42,Budget Shopper,Sports|Books|Fashion,Nike|Amazon|H&M
47,User_47,58,Luxury Buyer,Electronics|Home,Apple|Dyson|Sony
48,User_48,46,Sports Fan,Sports,Nike|Adidas|Bowflex
49,User_49,32,Home Decorator,Home|Fashion,IKEA|Dyson|Yankee
